Time,Amount
41950.139690717384,35.63430018962987
14404.888232589838,10.595624998673681
36411.249743388835,9.655970860121332
21569.996121705553,71.09094891402559
66063.48132605421,72.25649362179229
34006.56003265826,85.4316927692395
56694.104938332704,18.964291731956507
19784.9302393538,68.29930214288403
22106.075550945465,805.8341612656346
79424.21331500975,403.20608378667157
11160.586132828985,1194.4676655444052
50924.718389391586,501.5279804148105
72811.15398278655,1104.3042401021537
120.0,100.83296388189835
171500.0,55.514334895113926
171500.0,97.29378915581236
50.0,58.31817511635919
