Time,Amount
500.0,7771.838826319509
171200.0,1636.2040793577305
200.0,3234.6040476513917
171200.0,8054.163734278511
168900.0,6080.775999265637
500.0,5651.556300672086
171200.0,6582.155726998455
500.0,6943.272260365754
168900.0,7188.166778885656
171200.0,8875.628069947032
200.0,5359.372889141481
500.0,1593.5240845590993
127563.14119414162,7682.070603413945
84875.75733966217,3846.6476678045624
137862.2063842937,6555.065160365008
115083.97580301424,4344.367407313357
145770.45924951357,4605.975856396478
61949.61921894394,10730.845745019424
